"time","species","w","N"
7,"Sprat",0.00318,5726769296473.03
8,"Sprat",0.00318,11648985673209.7
9,"Sprat",0.00318,19675516127642
10,"Sprat",0.00318,28629704605366.9
11,"Sprat",0.00318,37288881227196.8
12,"Sprat",0.00318,44918454459011
13,"Sprat",0.00318,51304919992272.8
14,"Sprat",0.00318,56591509403878.5
15,"Sprat",0.00318,61307111527287.9
16,"Sprat",0.00318,66885208280958.6
17,"Sprat",0.00318,76213270960219.4
18,"Sprat",0.00318,91114493786734.5
19,"Sprat",0.00318,106177492512743
20,"Sprat",0.00318,111158609882583
21,"Sprat",0.00318,102015626669668
22,"Sprat",0.00318,83066106406266.8
23,"Sprat",0.00318,61386047087244.2
24,"Sprat",0.00318,42282419212172.8
25,"Sprat",0.00318,27924477803193.8
26,"Sprat",0.00318,18149189314181.1
27,"Sprat",0.00318,11839722770772.4
28,"Sprat",0.00318,7838920616075.28
29,"Sprat",0.00318,5282003991252.09
30,"Sprat",0.00318,3613645296975.15
31,"Sprat",0.00318,2504349725085.84
32,"Sprat",0.00318,1762232280590.36
33,"Sprat",0.00318,1270320486322.71
34,"Sprat",0.00318,951701915605.278
35,"Sprat",0.00318,753632987628.672
36,"Sprat",0.00318,640640208789.368
37,"Sprat",0.00318,590719940411.919
38,"Sprat",0.00318,592629025946.612
39,"Sprat",0.00318,644039916385.754
40,"Sprat",0.00318,750710965438.682
0,"Sprat",0.00353,131694844868.784
1,"Sprat",0.00353,131697894274.004
2,"Sprat",0.00353,132497389705.919
3,"Sprat",0.00353,144730093583.131
4,"Sprat",0.00353,226918916982.188
5,"Sprat",0.00353,591917715317.655
6,"Sprat",0.00353,1751443104572.07
7,"Sprat",0.00353,4467380613549.1
8,"Sprat",0.00353,9283690332143.3
9,"Sprat",0.00353,15974395186161.3
10,"Sprat",0.00353,23586886083862.5
11,"Sprat",0.00353,31052862120592.8
12,"Sprat",0.00353,37688993436880.7
13,"Sprat",0.00353,43267805128684.7
14,"Sprat",0.00353,47880843334248
15,"Sprat",0.00353,51931003858573.7
16,"Sprat",0.00353,56522628337371.6
17,"Sprat",0.00353,63994903633175
18,"Sprat",0.00353,76227570025883.1
19,"Sprat",0.00353,89429396236158.5
20,"Sprat",0.00353,94900002383929.1
21,"Sprat",0.00353,88310181534693.6
22,"Sprat",0.00353,72733755735992
23,"Sprat",0.00353,54192883374628.9
24,"Sprat",0.00353,37497550344906.9
25,"Sprat",0.00353,24785634273996.1
26,"Sprat",0.00353,16072723764256.4
27,"Sprat",0.00353,10439399789672.6
28,"Sprat",0.00353,6875085743116.26
29,"Sprat",0.00353,4607883408184.65
30,"Sprat",0.00353,3136842670469.54
31,"Sprat",0.00353,2163429818244.91
32,"Sprat",0.00353,1514192558235.32
33,"Sprat",0.00353,1084359749522.94
34,"Sprat",0.00353,805761379688.389
35,"Sprat",0.00353,631894508440.163
36,"Sprat",0.00353,531429513282.507
37,"Sprat",0.00353,484736458872.582
38,"Sprat",0.00353,481456612203.75
39,"Sprat",0.00353,518827943450.915
40,"Sprat",0.00353,600875400225.486
0,"Sprat",0.00392,113052642750.067
1,"Sprat",0.00392,113054158850.904
2,"Sprat",0.00392,113538087663.935
3,"Sprat",0.00392,121926394066.446
4,"Sprat",0.00392,181147594733.493
5,"Sprat",0.00392,453425776537.042
6,"Sprat",0.00392,1346064484463.33
7,"Sprat",0.00392,3500257301672.91
8,"Sprat",0.00392,7428023861006.11
9,"Sprat",0.00392,13019393254381.6
10,"Sprat",0.00392,19507956031975
11,"Sprat",0.00392,25963350485113.8
12,"Sprat",0.00392,31753596579774.4
13,"Sprat",0.00392,36644087227598.1
14,"Sprat",0.00392,40686967856497.4
15,"Sprat",0.00392,44190660477904
16,"Sprat",0.00392,48010365862018.5
17,"Sprat",0.00392,54037716657326.7
18,"Sprat",0.00392,64094860922995.5
19,"Sprat",0.00392,75615018196672.4
20,"Sprat",0.00392,81290400312189.5
21,"Sprat",0.00392,76712462719255.6
22,"Sprat",0.00392,63942326144753.1
23,"Sprat",0.00392,48074364080376.3
24,"Sprat",0.00392,33451490575906.8
25,"Sprat",0.00392,22157850380229.1
26,"Sprat",0.00392,14354814862910.9
27,"Sprat",0.00392,9294495627186.43
28,"Sprat",0.00392,6095544142706.85
29,"Sprat",0.00392,4067941314980.61
30,"Sprat",0.00392,2758406403928.73
31,"Sprat",0.00392,1895300317372.87
32,"Sprat",0.00392,1320961688040.69
33,"Sprat",0.00392,940913946065.687
34,"Sprat",0.00392,694287636162.248
35,"Sprat",0.00392,539766188248.931
36,"Sprat",0.00392,449462519323.286
37,"Sprat",0.00392,405737310323.349
38,"Sprat",0.00392,399021288299.36
39,"Sprat",0.00392,426297173731.106
40,"Sprat",0.00392,490319175401.146
0,"Sprat",0.00435,97420505657.7723
1,"Sprat",0.00435,97421493177.151
2,"Sprat",0.00435,97712576655.4272
3,"Sprat",0.00435,103475123733.422
4,"Sprat",0.00435,146312752715.739
5,"Sprat",0.00435,350177948520.22
6,"Sprat",0.00435,1039547168850.64
7,"Sprat",0.00435,2752707666859.33
8,"Sprat",0.00435,5963034870311.54
9,"Sprat",0.00435,10645318138195.4
10,"Sprat",0.00435,16187638689655
11,"Sprat",0.00435,21782492426124.4
12,"Sprat",0.00435,26848320678105.2
13,"Sprat",0.00435,31148520480785
14,"Sprat",0.00435,34705027418791.7
15,"Sprat",0.00435,37754594157712
16,"Sprat",0.00435,40962585777002.8
17,"Sprat",0.00435,45856755047725.1
18,"Sprat",0.00435,54136589344467
19,"Sprat",0.00435,64149701823200.7
20,"Sprat",0.00435,69823008261379.6
21,"Sprat",0.00435,66820398543646.5
22,"Sprat",0.00435,56387152010802.5
23,"Sprat",0.00435,42803623877440.3
24,"Sprat",0.00435,29975931744112.7
25,"Sprat",0.00435,19916376733954.7
26,"Sprat",0.00435,12902938836042
