"weight","time","species","N"
0.00359,27,"N.pout",75495428987381
0.00359,28,"N.pout",75495429094865.3
0.00359,29,"N.pout",75495429163748.2
0.00359,30,"N.pout",75495429207892.6
0.00359,31,"N.pout",75495429236183
0.00359,32,"N.pout",75495429254313.3
0.00359,33,"N.pout",75495429265932.4
0.00359,34,"N.pout",75495429273378.5
0.00359,35,"N.pout",75495429278150.5
0.00359,36,"N.pout",75495429281208.7
0.00359,37,"N.pout",75495429283168.5
0.00359,38,"N.pout",75495429284424.5
0.00359,39,"N.pout",75495429285229.4
0.00359,40,"N.pout",75495429285745.3
0.00404,0,"N.pout",23617248.877475
0.00404,1,"N.pout",7479284516867.73
0.00404,2,"N.pout",68478429022841.4
0.00404,3,"N.pout",67996835309234.7
0.00404,4,"N.pout",68229300406597.1
0.00404,5,"N.pout",68236540540987.4
0.00404,6,"N.pout",68236421731345.5
0.00404,7,"N.pout",68232903970125
0.00404,8,"N.pout",68230939252703.8
0.00404,9,"N.pout",68230480661109.9
0.00404,10,"N.pout",68230629160595.3
0.00404,11,"N.pout",68230853663912.7
0.00404,12,"N.pout",68231014427984.1
0.00404,13,"N.pout",68231112942286.3
0.00404,14,"N.pout",68231172378831.1
0.00404,15,"N.pout",68231209178955.1
0.00404,16,"N.pout",68231232516830.8
0.00404,17,"N.pout",68231247484423.7
0.00404,18,"N.pout",68231257106877.1
0.00404,19,"N.pout",68231263287300
0.00404,20,"N.pout",68231267251894.5
0.00404,21,"N.pout",68231269793206.8
0.00404,22,"N.pout",68231271421768
0.00404,23,"N.pout",68231272465378.5
0.00404,24,"N.pout",68231273134166.8
0.00404,25,"N.pout",68231273562766.4
0.00404,26,"N.pout",68231273837442.1
0.00404,27,"N.pout",68231274013472.8
0.00404,28,"N.pout",68231274126284.9
0.00404,29,"N.pout",68231274198582
0.00404,30,"N.pout",68231274244914.5
0.00404,31,"N.pout",68231274274607.2
0.00404,32,"N.pout",68231274293636.1
0.00404,33,"N.pout",68231274305831.1
0.00404,34,"N.pout",68231274313646.2
0.00404,35,"N.pout",68231274318654.8
0.00404,36,"N.pout",68231274321864.5
0.00404,37,"N.pout",68231274323921.6
0.00404,38,"N.pout",68231274325239.8
0.00404,39,"N.pout",68231274326084.6
0.00404,40,"N.pout",68231274326626
0.00453,0,"N.pout",20983721.0780265
0.00453,1,"N.pout",6733748664752.89
0.00453,2,"N.pout",61975516798488.9
0.00453,3,"N.pout",61315095813937.8
0.00453,4,"N.pout",61573070324377.9
0.00453,5,"N.pout",61589137281138.2
0.00453,6,"N.pout",61592145529272.1
0.00453,7,"N.pout",61589550980546.9
0.00453,8,"N.pout",61587702070522.5
0.00453,9,"N.pout",61587188912639
0.00453,10,"N.pout",61587300473628
0.00453,11,"N.pout",61587515851350.2
0.00453,12,"N.pout",61587677871417.6
0.00453,13,"N.pout",61587779066520.3
0.00453,14,"N.pout",61587840399907.6
0.00453,15,"N.pout",61587878313283.6
0.00453,16,"N.pout",61587902296945.7
0.00453,17,"N.pout",61587917655525.3
0.00453,18,"N.pout",61587927523962.1
0.00453,19,"N.pout",61587933861946.7
0.00453,20,"N.pout",61587937927873.4
0.00453,21,"N.pout",61587940534283
0.00453,22,"N.pout",61587942204594.4
0.00453,23,"N.pout",61587943274957.9
0.00453,24,"N.pout",61587943960885
0.00453,25,"N.pout",61587944400465.4
0.00453,26,"N.pout",61587944682177
0.00453,27,"N.pout",61587944862716.5
0.00453,28,"N.pout",61587944978418
0.00453,29,"N.pout",61587945052566.8
0.00453,30,"N.pout",61587945100085.9
0.00453,31,"N.pout",61587945130539.1
0.00453,32,"N.pout",61587945150055.4
0.00453,33,"N.pout",61587945162562.7
0.00453,34,"N.pout",61587945170578
0.00453,35,"N.pout",61587945175714.8
0.00453,36,"N.pout",61587945179006.8
0.00453,37,"N.pout",61587945181116.5
0.00453,38,"N.pout",61587945182468.5
0.00453,39,"N.pout",61587945183335
0.00453,40,"N.pout",61587945183890.3
0.00509,0,"N.pout",18643854.4372696
0.00509,1,"N.pout",6057833913900.56
0.00509,2,"N.pout",56044411337935.9
0.00509,3,"N.pout",55213524727801
0.00509,4,"N.pout",55491081271465
0.00509,5,"N.pout",55515087913081.1
0.00509,6,"N.pout",55521025794389.8
0.00509,7,"N.pout",55519362481738.3
0.00509,8,"N.pout",55517658317242.9
0.00509,9,"N.pout",55517101639131
0.00509,10,"N.pout",55517175190162.3
0.00509,11,"N.pout",55517377511132.7
0.00509,12,"N.pout",55517537567757.3
0.00509,13,"N.pout",55517639374177.3
0.00509,14,"N.pout",55517701344227.5
0.00509,15,"N.pout",55517739595263.7
0.00509,16,"N.pout",55517763736446.4
0.00509,17,"N.pout",55517779174166.1
0.00509,18,"N.pout",55517789088389.5
0.00509,19,"N.pout",55517795455370
0.00509,20,"N.pout",55517799540142.8
0.00509,21,"N.pout",55517802158768.5
0.00509,22,"N.pout",55517803836941.1
0.00509,23,"N.pout",55517804912340.9
0.00509,24,"N.pout",55517805601490.7
0.00509,25,"N.pout",55517806043133.4
0.00509,26,"N.pout",55517806326165.6
0.00509,27,"N.pout",55517806507551
0.00509,28,"N.pout",55517806623794.6
0.00509,29,"N.pout",55517806698290.8
0.00509,30,"N.pout",55517806746032.5
0.00509,31,"N.pout",55517806776628.4
0.00509,32,"N.pout",55517806796236.1
0.00509,33,"N.pout",55517806808802
0.00509,34,"N.pout",55517806816854.9
0.00509,35,"N.pout",55517806822015.7
0.00509,36,"N.pout",55517806825323.1
0.00509,37,"N.pout",55517806827442.7
0.00509,38,"N.pout",55517806828801
0.00509,39,"N.pout",55517806829671.6
0.00509,40,"N.pout",55517806830229.4
0.00572,0,"N.pout",16564903.1926033
0.00572,1,"N.pout",5445375659394.83
