"time","species","weight","N"
34.7,"Sprat",0.001,18209188878742.9
34.8,"Sprat",0.001,18204226199717.1
34.9,"Sprat",0.001,18199088117880.9
35,"Sprat",0.001,18193842999945.8
35.1,"Sprat",0.001,18188561496118.9
35.2,"Sprat",0.001,18183316596033.5
35.3,"Sprat",0.001,18178183591383.7
35.4,"Sprat",0.001,18173239845187.8
35.5,"Sprat",0.001,18168564274698.1
35.6,"Sprat",0.001,18164236473485.6
35.7,"Sprat",0.001,18160335427819
35.8,"Sprat",0.001,18156937821267
35.9,"Sprat",0.001,18154115966241.5
36,"Sprat",0.001,18151935447614.1
36.1,"Sprat",0.001,18150452606617
36.2,"Sprat",0.001,18149712027851.9
36.3,"Sprat",0.001,18149744213516.3
36.4,"Sprat",0.001,18150563632897.7
36.5,"Sprat",0.001,18152167319242.8
36.6,"Sprat",0.001,18154534150032.5
36.7,"Sprat",0.001,18157624893203.1
36.8,"Sprat",0.001,18161383036870.5
36.9,"Sprat",0.001,18165736352161.2
37,"Sprat",0.001,18170599077520.6
37.1,"Sprat",0.001,18175874567187.7
37.2,"Sprat",0.001,18181458222311.7
37.3,"Sprat",0.001,18187240522210.7
37.4,"Sprat",0.001,18193109992926.9
37.5,"Sprat",0.001,18198955984526.3
37.6,"Sprat",0.001,18204671169827.4
37.7,"Sprat",0.001,18210153717841
37.8,"Sprat",0.001,18215309129149.5
37.9,"Sprat",0.001,18220051744128.9
38,"Sprat",0.001,18224305947221.3
38.1,"Sprat",0.001,18228007092549.8
38.2,"Sprat",0.001,18231102170797.3
38.3,"Sprat",0.001,18233550228191.5
38.4,"Sprat",0.001,18235322539605.3
38.5,"Sprat",0.001,18236402532705.5
38.6,"Sprat",0.001,18236785461121.6
38.7,"Sprat",0.001,18236477832570.7
38.8,"Sprat",0.001,18235496611760.1
38.9,"Sprat",0.001,18233868235169.5
39,"Sprat",0.001,18231627492004.2
39.1,"Sprat",0.001,18228816339106.6
39.2,"Sprat",0.001,18225482724560.3
39.3,"Sprat",0.001,18221679493542.7
39.4,"Sprat",0.001,18217463440553.1
39.5,"Sprat",0.001,18212894555546.9
39.6,"Sprat",0.001,18208035489566.8
39.7,"Sprat",0.001,18202951240269.8
39.8,"Sprat",0.001,18197709031408.3
39.9,"Sprat",0.001,18192378334839.2
40,"Sprat",0.001,18187030961048
0,"Sandeel",0.001,6859125627860.58
0.1,"Sandeel",0.001,6847401063687.66
0.2,"Sandeel",0.001,6847118452630.51
0.3,"Sandeel",0.001,6846924205848.05
0.4,"Sandeel",0.001,6846571877884.51
0.5,"Sandeel",0.001,6846147969136.83
0.6,"Sandeel",0.001,6845708885575.74
0.7,"Sandeel",0.001,6845277022640.76
0.8,"Sandeel",0.001,6844855703414.25
0.9,"Sandeel",0.001,6844442159805.64
1,"Sandeel",0.001,6844035261513.1
1.1,"Sandeel",0.001,6843638456944.89
1.2,"Sandeel",0.001,6843259589075.27
