time,species,weight,N
1,Sole,0.0288,60310477276.1005
0,Gurnard,0.0288,976700373326.9757
1,Gurnard,0.0288,1084780210436.216
0,Plaice,0.0288,35885701765557.086
1,Plaice,0.0288,43461412744089.52
0,Haddock,0.0288,1459454785456.8137
1,Haddock,0.0288,1474644605464.8274
0,Cod,0.0288,5772829332.924762
1,Cod,0.0288,5743985095.78008
0,Saithe,0.0288,110406635690.91649
1,Saithe,0.0288,110366517920.8389
0,Sprat,0.0343,965358568204.599
1,Sprat,0.0343,955256720641.2091
0,Sandeel,0.0343,556052521122.6624
1,Sandeel,0.0343,555417637543.3289
0,N.pout,0.0343,7067253864951.949
1,N.pout,0.0343,6992948838227.645
0,Herring,0.0343,866960548143.4991
1,Herring,0.0343,858275972925.6057
0,Dab,0.0343,10380089070.255444
1,Dab,0.0343,10293772269.656479
0,Whiting,0.0343,493360431909.9253
1,Whiting,0.0343,490945798340.44604
0,Sole,0.0343,52249939176.410255
1,Sole,0.0343,51847646026.52758
0,Gurnard,0.0343,808344339957.8811
1,Gurnard,0.0343,897139537642.4833
0,Plaice,0.0343,28704820577462.742
1,Plaice,0.0343,34711094426790.36
0,Haddock,0.0343,1226585285715.987
1,Haddock,0.0343,1239875764333.528
0,Cod,0.0343,5008403783.483344
1,Cod,0.0343,4984761524.030831
0,Saithe,0.0343,96531150918.62234
1,Saithe,0.0343,96495987270.08737
0,Sprat,0.0409,813651793345.7706
1,Sprat,0.0409,806112864582.7736
0,Sandeel,0.0409,489001464185.176
1,Sandeel,0.0409,488540584211.18915
0,N.pout,0.0409,5805083349033.649
1,N.pout,0.0409,5745265183199.623
0,Herring,0.0409,736645707539.2881
1,Herring,0.0409,729436490544.9901
0,Dab,0.0409,8832910469.602118
1,Dab,0.0409,8769958819.770521
0,Whiting,0.0409,411944247239.4942
1,Whiting,0.0409,410159061116.51807
0,Sole,0.0409,44772326644.242195
1,Sole,0.0409,44471240323.91853
0,Gurnard,0.0409,665599641391.5491
1,Gurnard,0.0409,738129366366.5051
0,Plaice,0.0409,22823196652053.305
1,Plaice,0.0409,27551961216720.684
0,Haddock,0.0409,1026429183971.1859
1,Haddock,0.0409,1038044964769.9587
0,Cod,0.0409,4335935560.806995
1,Cod,0.0409,4316825836.562262
0,Saithe,0.0409,84223516680.40527
1,Saithe,0.0409,84190971397.69167
0,Sprat,0.0489,683798513972.9674
1,Sprat,0.0489,678366254414.7153
0,Sandeel,0.0489,429705008406.2213
1,Sandeel,0.0489,429394093807.25854
0,N.pout,0.0489,4739597157173.546
1,N.pout,0.0489,4691965012565.639
0,Herring,0.0489,624207513599.3773
1,Herring,0.0489,618294403267.7815
0,Dab,0.0489,7495083776.464151
1,Dab,0.0489,7451579536.982455
0,Whiting,0.0489,342405946095.351
1,Whiting,0.0489,341140455668.24896
0,Sole,0.0489,38269853933.71809
1,Sole,0.0489,38052373893.60772
0,Gurnard,0.0489,545178675111.78217
1,Gurnard,0.0489,604050588341.5289
0,Plaice,0.0489,18034106634797.89
1,Plaice,0.0489,21727616471013.094
0,Haddock,0.0489,855103629898.4954
1,Haddock,0.0489,865234960117.6151
0,Cod,0.0489,3745468559.4678884
1,Cod,0.0489,3730246845.360553
0,Saithe,0.0489,73323762245.68526
1,Saithe,0.0489,73292284298.2967
0,Sprat,0.0583,572951813378.5338
1,Sprat,0.0583,569209542279.5061
0,Sandeel,0.0583,377291787172.7406
1,Sandeel,0.0583,377107297954.70886
0,N.pout,0.0583,3845461339985.3105
1,N.pout,0.0583,3808015423798.5674
0,Herring,0.0583,527446161446.8088
1,Herring,0.0583,522656053235.1041
0,Dab,0.0583,6341160603.142588
1,Dab,0.0583,6313428750.883978
0,Whiting,0.0583,283260129441.481
1,Whiting,0.0583,282413288472.149
0,Sole,0.0583,32627188903.22468
1,Sole,0.0583,32476817763.88613
0,Gurnard,0.0583,444124267438.5468
1,Gurnard,0.0583,491583894045.2017
0,Plaice,0.0583,14158530508829.012
1,Plaice,0.0583,17017551399298.049
0,Haddock,0.0583,709094704714.953
1,Haddock,0.0583,717904975048.355
0,Cod,0.0583,3228019636.6449957
1,Cod,0.0583,3216079365.724465
0,Saithe,0.0583,63686836257.0153
1,Saithe,0.0583,63655655102.2197
0,Sprat,0.0696,478597091745.1421
1,Sprat,0.0696,476172895904.13904
0,Sandeel,0.0696,330989002223.8193
1,Sandeel,0.0696,330908250599.5121
0,N.pout,0.0696,3099731682278.8057
1,N.pout,0.0696,3070739242425.264
0,Herring,0.0696,444401424223.2697
1,Herring,0.0696,440570819972.2803
0,Dab,0.0696,5348489182.554401
1,Dab,0.0696,5333162570.266231
0,Whiting,0.0696,233173896449.4324
1,Whiting,0.0696,232655006884.4444
0,Sole,0.0696,27741697891.69991
1,Sole,0.0696,27643362019.86753
0,Gurnard,0.0696,359786070735.10187
1,Gurnard,0.0696,397760572723.4082
0,Plaice,0.0696,11042269783375.57
1,Plaice,0.0696,13232900600964.955
0,Haddock,0.0696,585228907044.0889
1,Haddock,0.0696,592860425021.5497
0,Cod,0.0696,2775485800.7024646
1,Cod,0.0696,2766267530.1205544
0,Saithe,0.0696,55181251703.03075
1,Saithe,0.0696,55150320446.13135
0,Sprat,0.083,398516883435.14795
1,Sprat,0.083,397086951792.0918
0,Sandeel,0.083,290110318581.6434
1,Sandeel,0.083,290111965795.9549
0,N.pout,0.083,2481730353099.916
1,N.pout,0.083,2459714553778.7266
0,Herring,0.083,373328304366.03174
1,Herring,0.083,370306814317.8681
0,Dab,0.083,4496921158.421671
1,Dab,0.083,4490991546.711284
0,Whiting,0.083,190954026426.52158
1,Whiting,0.083,190684467002.89346
0,Sole,0.083,23522051734.104366
1,Sole,0.083,23462341942.82669
0,Gurnard,0.083,289797183691.07794
1,Gurnard,0.083,319935967684.7406
0,Plaice,0.083,8553227077814.636
1,Plaice,0.083,10212575581795.926
0,Haddock,0.083,480645422989.99176
1,Haddock,0.083,487226314017.7217
0,Cod,0.083,2380557778.82884
1,Cod,0.083,2373560231.840124
0,Saithe,0.083,47687803944.567474
1,Saithe,0.083,47657806804.12818
0,Sprat,0.0991,330759956445.4711
1,Sprat,0.0991,330049281416.48145
0,Sandeel,0.0991,254045756183.4454
1,Sandeel,0.0991,254110097442.0562
0,N.pout,0.0991,1972965808342.5913
1,N.pout,0.0991,1956668724951.2773
0,Herring,0.0991,312677170471.75946
1,Herring,0.0991,310328977600.1749
0,Dab,0.0991,3768558233.4376698
1,Dab,0.0991,3769403702.9962053
0,Whiting,0.0991,155536656299.3643
1,Whiting,0.0991,155450045795.30182
0,Sole,0.0991,19886997508.70215
1,Sole,0.0991,19854316333.63155
0,Gurnard,0.0991,232055804191.68268
1,Gurnard,0.0991,255764826292.04794
0,Plaice,0.0991,6578917529342.307
1,Plaice,0.0991,7819770735286.636
0,Haddock,0.0991,392776342402.54614
1,Haddock,0.0991,398423387507.54517
0,Cod,0.0991,2036653176.4336793
1,Cod,0.0991,2031436626.7282138
0,Saithe,0.0991,41098643549.290436
1,Saithe,0.0991,41070859117.29992
0,Sprat,0.118,273612912141.32086
1,Sprat,0.118,273394124217.08887
0,Sandeel,0.118,222252825794.357
1,Sandeel,0.118,222362000163.33084
0,N.pout,0.118,1557015523757.5334
1,N.pout,0.118,1545363593642.2373
0,Herring,0.118,261074824919.74567
1,Herring,0.118,259279278771.65137
0,Dab,0.118,3147520297.8800273
1,Dab,0.118,3152915306.8528094
0,Whiting,0.118,125976729940.37633
1,Whiting,0.118,126018463897.2984
0,Sole,0.118,16764261624.381653
1,Sole,0.118,16748887207.995678
0,Gurnard,0.118,184705910910.66315
1,Gurnard,0.118,203177977563.6627
0,Plaice,0.118,5024148516067.776
1,Plaice,0.118,5938830703002.074
0,Haddock,0.118,319325980270.5378
1,Haddock,0.118,324146290061.41486
0,Cod,0.118,1737853316.7158265
1,Cod,0.118,1734039860.473148
0,Saithe,0.118,35316354533.327896
1,Saithe,0.118,35292479389.84279
0,Sprat,0.141,225574439452.17737
1,Sprat,0.141,225665158606.5909
0,Sandeel,0.141,194248818712.3749
1,Sandeel,0.141,194386954001.41055
0,N.pout,0.141,1219396233569.8826
1,N.pout,0.141,1211470906650.0125
0,Herring,0.141,217307187275.28726
1,Herring,0.141,215958755700.77374
0,Dab,0.141,2619736533.8701
1,Dab,0.141,2627847094.690176
0,Whiting,0.141,101437889078.46791
1,Whiting,0.141,101564244761.1783
0,Sole,0.141,14089576452.93821
1,Sole,0.141,14083650906.895947
0,Gurnard,0.141,146118312977.5028
1,Gurnard,0.141,160359956434.37802
0,Plaice,0.141,3808884747402.6416
1,Plaice,0.141,4472461903615.6045
0,Haddock,0.141,258251169539.17996
1,Haddock,0.141,262343152718.79178
0,Cod,0.141,1478845992.9505427
1,Cod,0.141,1476117459.7954085
0,Saithe,0.141,30253096184.290688
1,Saithe,0.141,30235047374.158646
0,Sprat,0.168,185332037214.37045
1,Sprat,0.168,185591093436.278
0,Sandeel,0.168,169604077112.71558
1,Sandeel,0.168,169757372705.7915
0,N.pout,0.168,947424966317.1051
1,N.pout,0.168,942439003570.5103
0,Herring,0.168,180303463546.80304
1,Herring,0.168,179311193636.90707
0,Dab,0.168,2172757542.2889867
